DATE,TITLE,ARTIST,,LOCKDOWN,WEEK,TOTALWEEKS,PLAYS
4/8/20,My Kind of Woman by Mac DeMarco,Mac DeMarco,My Kind of Woman,2,4,10,3
2/8/20,Naruto Themed Sexting by Panucci's Pizza,Panucci's Pizza,Naruto Themed Sexting,2,4,10,4
4/8/20,Obscured by Clouds by Pink Floyd,Pink Floyd,Obscured by Clouds,2,4,10,3
5/8/20,Ocean Bed by King Krule,King Krule,Ocean Bed,2,4,10,6
4/8/20,Oops (Oh My) [feat. Missy Elliott] by Tweet,Tweet,Oops (Oh My) [feat. Missy Elliott],2,4,10,6
4/8/20,Out Getting Ribs by King Krule,King Krule,Out Getting Ribs,2,4,10,5
4/8/20,"Palace/Curse (feat. Steve Lacy, feat. Tyler, The Creator, feat. Tyler, The Creator & Steve Lacy) by The Internet",The Internet,"Palace/Curse (feat. Steve Lacy, feat. Tyler, The Creator, feat. Tyler, The Creator & Steve Lacy)",2,4,10,3
4/8/20,Pepsi/Coke Suicide by Elvis Depressedly,Elvis Depressedly,Pepsi/Coke Suicide,2,4,10,3
3/8/20,Pink Matter by Frank Ocean,Frank Ocean,Pink Matter,2,4,10,4
2/8/20,Purple Tuesday (feat. Joey Bada$$ & Jesse Boykins III) by Rejjie Snow,Rejjie Snow,Purple Tuesday (feat. Joey Bada$$ & Jesse Boykins III),2,4,10,6
30/7/20,Read My Mind by Lianne La Havas,Lianne La Havas,Read My Mind,2,4,10,7
4/8/20,Redbone by Childish Gambino,Childish Gambino,Redbone,2,4,10,4
30/7/20,Sarah by Alex G,Alex G,Sarah,2,4,10,9
31/7/20,Say You'll Say So by Geoffrey Landers,Geoffrey Landers,Say You'll Say So,2,4,10,7
4/8/20,Sense by Kllo,Kllo,Sense,2,4,10,3
31/7/20,Show Me How by Men I Trust,Men I Trust,Show Me How,2,4,10,6
30/7/20,Shut Up Kiss Me by Angel Olsen,Angel Olsen,Shut Up Kiss Me,2,4,10,9
4/8/20,Somebody Else by The 1975,The 1975,Somebody Else,2,4,10,3
1/8/20,Sour Flower by Lianne La Havas,Lianne La Havas,Sour Flower,2,4,10,6
30/7/20,Stay Flo by Solange,Solange,Stay Flo,2,4,10,7
5/8/20,Still Don't Know My Name by Labrinth,Labrinth,Still Don't Know My Name,2,4,10,5
1/8/20,Suddenly by Drugdealer,Drugdealer,Suddenly,2,4,10,7
30/7/20,Sugar for the Pill by Slowdive,Slowdive,Sugar for the Pill,2,4,10,11
4/8/20,Summer Girl - Bonus Track by HAIM,HAIM,Summer Girl - Bonus Track,2,4,10,3
1/8/20,Thames Water by Archy Marshall,Archy Marshall,Thames Water,2,4,10,6
4/8/20,That's Life by Frank Sinatra,Frank Sinatra,That's Life,2,4,10,3
1/8/20,There Is a Light That Never Goes Out - 2011 Remaster by The Smiths,The Smiths,There Is a Light That Never Goes Out - 2011 Remaster,2,4,10,3
4/8/20,Time Moves Slow by BADBADNOTGOOD,BADBADNOTGOOD,Time Moves Slow,2,4,10,3
3/8/20,Unrecovery by Duster,Duster,Unrecovery,2,4,10,4
2/8/20,Waist by Black Grapefruit,Black Grapefruit,Waist,2,4,10,3
30/7/20,Wait a Minute! by Willow,Willow,Wait a Minute!,2,4,10,7
30/7/20,What Once Was by Her's,Her's,What Once Was,2,4,10,7
4/8/20,Wooden Girl by Jonatan Leandoer96,Jonatan Leandoer96,Wooden Girl,2,4,10,3
2/8/20,WTF Are We Talking For by Labrinth,Labrinth,WTF Are We Talking For,2,4,10,8
4/8/20,You Always Hurt The One You Love by The Mills Brothers,The Mills Brothers,You Always Hurt The One You Love,2,4,10,3
8/8/20,23 by Rejjie Snow,Rejjie Snow,23,2,5,11,3
6/8/20,((home movie: shoes on)) by Glass Animals,Glass Animals,((home movie: shoes on)),2,5,11,9
6/8/20,(Don't Let the Dragon) Draag On by King Krule,King Krule,(Don't Let the Dragon) Draag On,2,5,11,9
12/8/20,3 Days by Rhye,Rhye,3 Days,2,5,11,4
10/8/20,A Real Hero by Electric Youth,Electric Youth,A Real Hero,2,5,11,3
10/8/20,All For Us - from the HBO Original Series Euphoria by Labrinth,Labrinth,All For Us - from the HBO Original Series Euphoria,2,5,11,3
8/8/20,All I Want by Moon Monsoon,Moon Monsoon,All I Want,2,5,11,9
7/8/20,Always Returning - Remastered 2005 by Brian Eno,Brian Eno,Always Returning - Remastered 2005,2,5,11,3
7/8/20,Angels by The xx,The xx,Angels,2,5,11,3
8/8/20,Another Weekend by Ariel Pink,Ariel Pink,Another Weekend,2,5,11,3
12/8/20,Baby by Brittany Howard,Brittany Howard,Baby,2,5,11,6
8/8/20,Baby Blue by King Krule,King Krule,Baby Blue,2,5,11,4
7/8/20,Be Mine by Amandla Stenberg,Amandla Stenberg,Be Mine,2,5,11,7
6/8/20,Bermondsey Bosom (Right) by King Krule,King Krule,Bermondsey Bosom (Right),2,5,11,3
12/8/20,Binz by Solange,Solange,Binz,2,5,11,5
10/8/20,Blue Train Lines by Mount Kimbie,Mount Kimbie,Blue Train Lines,2,5,11,8
12/8/20,Cabin Fever by Jaden,Jaden,Cabin Fever,2,5,11,7
10/8/20,Chanel by Frank Ocean,Frank Ocean,Chanel,2,5,11,7
8/8/20,COMPLEXITIES by Daniel Caesar,Daniel Caesar,COMPLEXITIES,2,5,11,4
8/8/20,Constellations by Duster,Duster,Constellations,2,5,11,4
8/8/20,Cool Blue by The Japanese House,The Japanese House,Cool Blue,2,5,11,3
6/8/20,Crazy For You by Slowdive,Slowdive,Crazy For You,2,5,11,14
12/8/20,Deep Blue Day - Remastered 2005 by Brian Eno,Brian Eno,Deep Blue Day - Remastered 2005,2,5,11,3
6/8/20,Domestic Bliss by Glass Animals,Glass Animals,Domestic Bliss,2,5,11,10
6/8/20,Doorman by slowthai,slowthai,Doorman,2,5,11,11
7/8/20,Easy Easy by King Krule,King Krule,Easy Easy,2,5,11,4
6/8/20,Emergency Blimp by King Krule,King Krule,Emergency Blimp,2,5,11,9
6/8/20,Empty Words by Bowery Electric,Bowery Electric,Empty Words,2,5,11,10
6/8/20,Every Day Is A Holiday (feat. Winston Surfshirt) by Dope Lemon,Dope Lemon,Every Day Is A Holiday (feat. Winston Surfshirt),2,5,11,9
10/8/20,Fade Into You by Mazzy Star,Mazzy Star,Fade Into You,2,5,11,5
6/8/20,Flirting In Space by Brad stank,Brad stank,Flirting In Space,2,5,11,9
10/8/20,Foreign Tides by Ry x,Ry x,Foreign Tides,2,5,11,3
12/8/20,Forever Dolphin Love by Connan Mockasin,Connan Mockasin,Forever Dolphin Love,2,5,11,6
11/8/20,Freak In Me by Mild Orange,Mild Orange,Freak In Me,2,5,11,3
6/8/20,Free The Frail by JPEGMAFIA,JPEGMAFIA,Free The Frail,2,5,11,14
6/8/20,Freudian by Daniel Caesar,Daniel Caesar,Freudian,2,5,11,8
10/8/20,Frisk by Black Marble,Black Marble,Frisk,2,5,11,3
6/8/20,getting it on by SALES,SALES,getting it on,2,5,11,10
6/8/20,Gold Dust by Duster,Duster,Gold Dust,2,5,11,9
10/8/20,Golden Heart by Black Marble,Black Marble,Golden Heart,2,5,11,3
12/8/20,High by Little Dragon,Little Dragon,High,2,5,11,3
12/8/20,Hold Up by Beyoncé,Beyoncé,Hold Up,2,5,11,3
6/8/20,Hot Sugar by Glass Animals,Glass Animals,Hot Sugar,2,5,11,18
12/8/20,Howling by Ry x,Ry x,Howling,2,5,11,3
10/8/20,In Lust We Trust by Steve Lacy,Steve Lacy,In Lust We Trust,2,5,11,3
12/8/20,Intro by The xx,The xx,Intro,2,5,11,3
6/8/20,Khmlwugh by HOMESHAKE,HOMESHAKE,Khmlwugh,2,5,11,13
10/8/20,La Di Da by The Internet,The Internet,La Di Da,2,5,11,5
12/8/20,Last Dance by No Vacation,No Vacation,Last Dance,2,5,11,5
6/8/20,LEAP! by Souly Had,Souly Had,LEAP!,2,5,11,14
12/8/20,Lipstick by Ariel Pink,Ariel Pink,Lipstick,2,5,11,6
11/8/20,Live Without Your Love (with Steve Lacy) by Love Regenerator,Love Regenerator,Live Without Your Love (with Steve Lacy),2,5,11,3
8/8/20,Loner by Kali Uchis,Kali Uchis,Loner,2,5,11,5
10/8/20,Mind Fields by No Vacation,No Vacation,Mind Fields,2,5,11,4
9/8/20,Misty Frequencies by Che-Fu,Che-Fu,Misty Frequencies,2,5,11,3
9/8/20,Moon Undah Water by Puma Blue,Puma Blue,Moon Undah Water,2,5,11,4
8/8/20,MSQ No-Extra by Black Marble,Black Marble,MSQ No-Extra,2,5,11,4
12/8/20,O.T.D. by Brad stank,Brad stank,O.T.D.,2,5,11,5
8/8/20,Off and On by SALES,SALES,Off and On,2,5,11,7
12/8/20,On Hold by The xx,The xx,On Hold,2,5,11,3
8/8/20,Oops (Oh My) [feat. Missy Elliott] by Tweet,Tweet,Oops (Oh My) [feat. Missy Elliott],2,5,11,3
11/8/20,Out Getting Ribs by King Krule,King Krule,Out Getting Ribs,2,5,11,3
8/8/20,Paper Thin by Lianne La Havas,Lianne La Havas,Paper Thin,2,5,11,4
8/8/20,Parking Lot by Anderson .Paak,Anderson .Paak,Parking Lot,2,5,11,3
7/8/20,Purple Tuesday (feat. Joey Bada$$ & Jesse Boykins III) by Rejjie Snow,Rejjie Snow,Purple Tuesday (feat. Joey Bada$$ & Jesse Boykins III),2,5,11,7
10/8/20,Read My Mind by Lianne La Havas,Lianne La Havas,Read My Mind,2,5,11,3
6/8/20,Sarah by Alex G,Alex G,Sarah,2,5,11,17
11/8/20,Say You'll Say So by Geoffrey Landers,Geoffrey Landers,Say You'll Say So,2,5,11,5
12/8/20,Sense by Kllo,Kllo,Sense,2,5,11,3
12/8/20,Show Me How by Men I Trust,Men I Trust,Show Me How,2,5,11,4
6/8/20,Shut Up Kiss Me by Angel Olsen,Angel Olsen,Shut Up Kiss Me,2,5,11,5
9/8/20,Sky Walker (feat. Travis Scott) by Miguel,Miguel,Sky Walker (feat. Travis Scott),2,5,11,3
6/8/20,Some Feeling by Mild Orange,Mild Orange,Some Feeling,2,5,11,8
11/8/20,Stay Flo by Solange,Solange,Stay Flo,2,5,11,3
6/8/20,Suddenly by Drugdealer,Drugdealer,Suddenly,2,5,11,6
6/8/20,Sugar for the Pill by Slowdive,Slowdive,Sugar for the Pill,2,5,11,9
9/8/20,Supermodel by SZA,SZA,Supermodel,2,5,11,3
12/8/20,Tangerine by Glass Animals,Glass Animals,Tangerine,2,5,11,19
8/8/20,The Bay by Moon Monsoon,Moon Monsoon,The Bay,2,5,11,5
8/8/20,The Landing by Duster,Duster,The Landing,2,5,11,4
10/8/20,The Night Before The Funeral by The Mary Onettes,The Mary Onettes,The Night Before The Funeral,2,5,11,4
6/8/20,The Way by Ariana Grande,Ariana Grande,The Way,2,5,11,7
12/8/20,Too Much by Tora,Tora,Too Much,2,5,11,4
10/8/20,Topical Solution by Duster,Duster,Topical Solution,2,5,11,3
11/8/20,Trouble by Lindsey Buckingham,Lindsey Buckingham,Trouble,2,5,11,3
10/8/20,Unrecovery by Duster,Duster,Unrecovery,2,5,11,4
8/8/20,Untold by Ry x,Ry x,Untold,2,5,11,4
9/8/20,Waist by Black Grapefruit,Black Grapefruit,Waist,2,5,11,5
6/8/20,Wait a Minute! by Willow,Willow,Wait a Minute!,2,5,11,3
11/8/20,What Once Was by Her's,Her's,What Once Was,2,5,11,4
8/8/20,White Jeans by SALES,SALES,White Jeans,2,5,11,18
12/8/20,Work Song by Hozier,Hozier,Work Song,2,5,11,3
10/8/20,WTF Are We Talking For by Labrinth,Labrinth,WTF Are We Talking For,2,5,11,4
12/8/20,Young by Vallis Alps,Vallis Alps,Young,2,5,11,3
17/8/20,23 by Rejjie Snow,Rejjie Snow,23,2,6,12,4
16/8/20,((home movie: rockets)) by Glass Animals,Glass Animals,((home movie: rockets)),2,6,12,3
19/8/20,(Don't Let the Dragon) Draag On by King Krule,King Krule,(Don't Let the Dragon) Draag On,2,6,12,9
15/8/20,A Quick One Before the Eternal Worm Devours Connecticut by Have a Nice Life,Have a Nice Life,A Quick One Before the Eternal Worm Devours Connecticut,2,6,12,3
16/8/20,All For Us - from the HBO Original Series Euphoria by Labrinth,Labrinth,All For Us - from the HBO Original Series Euphoria,2,6,12,3
19/8/20,All I Want by Moon Monsoon,Moon Monsoon,All I Want,2,6,12,15
15/8/20,Another Weekend by Ariel Pink,Ariel Pink,Another Weekend,2,6,12,3
19/8/20,Baby by Brittany Howard,Brittany Howard,Baby,2,6,12,3
19/8/20,Baby by Ariel Pink,Ariel Pink,Baby,2,6,12,3
16/8/20,Baby Blue by King Krule,King Krule,Baby Blue,2,6,12,3
18/8/20,Be Mine by Amandla Stenberg,Amandla Stenberg,Be Mine,2,6,12,4
18/8/20,Beauty & Essex (feat. Daniel Caesar & Unknown Mortal Orchestra) by Free Nationals,Free Nationals,Beauty & Essex (feat. Daniel Caesar & Unknown Mortal Orchestra),2,6,12,3
19/8/20,Binz by Solange,Solange,Binz,2,6,12,5
19/8/20,Blue Train Lines by Mount Kimbie,Mount Kimbie,Blue Train Lines,2,6,12,10
19/8/20,Cabin Fever by Jaden,Jaden,Cabin Fever,2,6,12,6
17/8/20,Chanel by Frank Ocean,Frank Ocean,Chanel,2,6,12,4
19/8/20,Cherry Blossom by Raury,Raury,Cherry Blossom,2,6,12,7
19/8/20,COMPLEXITIES by Daniel Caesar,Daniel Caesar,COMPLEXITIES,2,6,12,4
15/8/20,Constellations by Duster,Duster,Constellations,2,6,12,3
18/8/20,Crazy For You by Slowdive,Slowdive,Crazy For You,2,6,12,8
19/8/20,CUT EM IN (feat. Rick Ross) by Anderson .Paak,Anderson .Paak,CUT EM IN (feat. Rick Ross),2,6,12,5
19/8/20,Days Go By by Men I Trust,Men I Trust,Days Go By,2,6,12,6
19/8/20,Devotion by H.MOON,H.MOON,Devotion,2,6,12,4
18/8/20,Domestic Bliss by Glass Animals,Glass Animals,Domestic Bliss,2,6,12,3
19/8/20,Doorman by slowthai,slowthai,Doorman,2,6,12,4
18/8/20,Easy Easy by King Krule,King Krule,Easy Easy,2,6,12,6
19/8/20,Emotional Rescue - Remastered 2009 by The Rolling Stones,The Rolling Stones,Emotional Rescue - Remastered 2009,2,6,12,3
19/8/20,Empty Words by Bowery Electric,Bowery Electric,Empty Words,2,6,12,6
18/8/20,Every Day Is A Holiday (feat. Winston Surfshirt) by Dope Lemon,Dope Lemon,Every Day Is A Holiday (feat. Winston Surfshirt),2,6,12,5
17/8/20,Fade Into You by Mazzy Star,Mazzy Star,Fade Into You,2,6,12,4
18/8/20,Flirting In Space by Brad stank,Brad stank,Flirting In Space,2,6,12,7
16/8/20,Forever Dolphin Love by Connan Mockasin,Connan Mockasin,Forever Dolphin Love,2,6,12,3
18/8/20,Free The Frail by JPEGMAFIA,JPEGMAFIA,Free The Frail,2,6,12,4
18/8/20,Freudian by Daniel Caesar,Daniel Caesar,Freudian,2,6,12,5
19/8/20,getting it on by SALES,SALES,getting it on,2,6,12,10
15/8/20,Godspeed by Frank Ocean,Frank Ocean,Godspeed,2,6,12,3
15/8/20,Gold Dust by Duster,Duster,Gold Dust,2,6,12,3
18/8/20,High by Little Dragon,Little Dragon,High,2,6,12,3
19/8/20,hostage by Billie Eilish,Billie Eilish,hostage,2,6,12,3
19/8/20,Hot Sugar by Glass Animals,Glass Animals,Hot Sugar,2,6,12,8
18/8/20,Howling by Ry x,Ry x,Howling,2,6,12,3
19/8/20,Khmlwugh by HOMESHAKE,HOMESHAKE,Khmlwugh,2,6,12,6
18/8/20,La Lune by King Krule,King Krule,La Lune,2,6,12,6
15/8/20,Last Dance by No Vacation,No Vacation,Last Dance,2,6,12,3
17/8/20,LEAP! by Souly Had,Souly Had,LEAP!,2,6,12,4
19/8/20,Lemon Firebrigade by Haircut 100,Haircut 100,Lemon Firebrigade,2,6,12,3
18/8/20,Lipstick by Ariel Pink,Ariel Pink,Lipstick,2,6,12,6
19/8/20,Live Without Your Love (with Steve Lacy) by Love Regenerator,Love Regenerator,Live Without Your Love (with Steve Lacy),2,6,12,4
19/8/20,Lucy by Still Woozy,Still Woozy,Lucy,2,6,12,11
18/8/20,Misty Frequencies by Che-Fu,Che-Fu,Misty Frequencies,2,6,12,3
19/8/20,MSQ No-Extra by Black Marble,Black Marble,MSQ No-Extra,2,6,12,4
19/8/20,O.T.D. by Brad stank,Brad stank,O.T.D.,2,6,12,5
18/8/20,Ocean Bed by King Krule,King Krule,Ocean Bed,2,6,12,6
19/8/20,Off and On by SALES,SALES,Off and On,2,6,12,14
19/8/20,Olympic by French 79,French 79,Olympic,2,6,12,3
19/8/20,Oops (Oh My) [feat. Missy Elliott] by Tweet,Tweet,Oops (Oh My) [feat. Missy Elliott],2,6,12,3
18/8/20,Out Getting Ribs by King Krule,King Krule,Out Getting Ribs,2,6,12,4
15/8/20,Pink Matter by Frank Ocean,Frank Ocean,Pink Matter,2,6,12,3
19/8/20,Purple Tuesday (feat. Joey Bada$$ & Jesse Boykins III) by Rejjie Snow,Rejjie Snow,Purple Tuesday (feat. Joey Bada$$ & Jesse Boykins III),2,6,12,8
16/8/20,Reach Us by Moon Monsoon,Moon Monsoon,Reach Us,2,6,12,5
18/8/20,Run the Road by Santigold,Santigold,Run the Road,2,6,12,3
19/8/20,Sarah by Alex G,Alex G,Sarah,2,6,12,7
18/8/20,Say You'll Say So by Geoffrey Landers,Geoffrey Landers,Say You'll Say So,2,6,12,4
19/8/20,Sense by Kllo,Kllo,Sense,2,6,12,4
16/8/20,Show Me How by Men I Trust,Men I Trust,Show Me How,2,6,12,5
18/8/20,Some Feeling by Mild Orange,Mild Orange,Some Feeling,2,6,12,5
17/8/20,Sour Flower by Lianne La Havas,Lianne La Havas,Sour Flower,2,6,12,3
15/8/20,Stay Flo by Solange,Solange,Stay Flo,2,6,12,3
16/8/20,Still Don't Know My Name by Labrinth,Labrinth,Still Don't Know My Name,2,6,12,4
19/8/20,Sugar for the Pill by Slowdive,Slowdive,Sugar for the Pill,2,6,12,7
16/8/20,Tangerine by Glass Animals,Glass Animals,Tangerine,2,6,12,5
16/8/20,The Bay by Moon Monsoon,Moon Monsoon,The Bay,2,6,12,6
15/8/20,The Landing by Duster,Duster,The Landing,2,6,12,3
18/8/20,The Way by Ariana Grande,Ariana Grande,The Way,2,6,12,3
15/8/20,Unrecovery by Duster,Duster,Unrecovery,2,6,12,3
19/8/20,Untold by Ry x,Ry x,Untold,2,6,12,3
16/8/20,Waist by Black Grapefruit,Black Grapefruit,Waist,2,6,12,3
16/8/20,Wait a Minute! by Willow,Willow,Wait a Minute!,2,6,12,3
19/8/20,What Once Was by Her's,Her's,What Once Was,2,6,12,6
19/8/20,White Jeans by SALES,SALES,White Jeans,2,6,12,19
18/8/20,WTF Are We Talking For by Labrinth,Labrinth,WTF Are We Talking For,2,6,12,5
24/8/20,All I Want by Moon Monsoon,Moon Monsoon,All I Want,2,7,13,9
23/8/20,Angel by Loyle Carner,Loyle Carner,Angel,2,7,13,3
24/8/20,Baby by Ariel Pink,Ariel Pink,Baby,2,7,13,9
24/8/20,Baby It's You by London Grammar,London Grammar,Baby It's You,2,7,13,4
23/8/20,Beauty & Essex (feat. Daniel Caesar & Unknown Mortal Orchestra) by Free Nationals,Free Nationals,Beauty & Essex (feat. Daniel Caesar & Unknown Mortal Orchestra),2,7,13,3
22/8/20,Blue Train Lines by Mount Kimbie,Mount Kimbie,Blue Train Lines,2,7,13,3
28/8/20,Breeze by Slow Corpse,Slow Corpse,Breeze,2,7,13,8
22/8/20,C'est La Vie by FELIVAND,FELIVAND,C'est La Vie,2,7,13,3
24/8/20,Cherry Blossom by Raury,Raury,Cherry Blossom,2,7,13,8
23/8/20,Colder & Closer by Tops,Tops,Colder & Closer,2,7,13,3
24/8/20,Come Over by The Internet,The Internet,Come Over,2,7,13,3
25/8/20,Come Through and Chill (feat. Miguel) by Salaam Remi,Salaam Remi,Come Through and Chill (feat. Miguel),2,7,13,3
22/8/20,Crazy For You by Slowdive,Slowdive,Crazy For You,2,7,13,3
23/8/20,Cruel by Ta-ku,Ta-ku,Cruel,2,7,13,5
24/8/20,CUT EM IN (feat. Rick Ross) by Anderson .Paak,Anderson .Paak,CUT EM IN (feat. Rick Ross),2,7,13,4
24/8/20,Days Go By by Men I Trust,Men I Trust,Days Go By,2,7,13,9
24/8/20,Devotion by H.MOON,H.MOON,Devotion,2,7,13,4
25/8/20,Dreams from Yesterday - Demo by Mac DeMarco,Mac DeMarco,Dreams from Yesterday - Demo,2,7,13,4
22/8/20,Eternal Light by Free Nationals,Free Nationals,Eternal Light,2,7,13,3
22/8/20,First Taste by Mild Orange,Mild Orange,First Taste,2,7,13,3
24/8/20,Flirting In Space by Brad stank,Brad stank,Flirting In Space,2,7,13,3
22/8/20,Fool For You by Snoh Aalegra,Snoh Aalegra,Fool For You,2,7,13,3
28/8/20,Freak In Me by Mild Orange,Mild Orange,Freak In Me,2,7,13,12
24/8/20,getting it on by SALES,SALES,getting it on,2,7,13,5
21/8/20,Gold Dust by Duster,Duster,Gold Dust,2,7,13,3
28/8/20,Hey by Mild Orange,Mild Orange,Hey,2,7,13,9
21/8/20,Hey Little Baby by Dope Lemon,Dope Lemon,Hey Little Baby,2,7,13,4
28/8/20,Hot Headed by FELIVAND,FELIVAND,Hot Headed,2,7,13,10
24/8/20,Intro~ by Mild Orange,Mild Orange,Intro~,2,7,13,10
24/8/20,It's Conditional by Black Marble,Black Marble,It's Conditional,2,7,13,3
22/8/20,Lay Me Down by Steve Lacy,Steve Lacy,Lay Me Down,2,7,13,3
24/8/20,Lucy by Still Woozy,Still Woozy,Lucy,2,7,13,16
24/8/20,Monument by Efterklang,Efterklang,Monument,2,7,13,3
22/8/20,Mysight by Mild Orange,Mild Orange,Mysight,2,7,13,3
28/8/20,Off and On by SALES,SALES,Off and On,2,7,13,6
24/8/20,Olympic by French 79,French 79,Olympic,2,7,13,4
22/8/20,Only If by Steve Lacy,Steve Lacy,Only If,2,7,13,3
28/8/20,Open by Rhye,Rhye,Open,2,7,13,4
25/8/20,Other Side Of The Game by Erykah Badu,Erykah Badu,Other Side Of The Game,2,7,13,3
22/8/20,Over You - Live by The Velvet Underground,The Velvet Underground,Over You - Live,2,7,13,3
24/8/20,Poison by Brent Faiyaz,Brent Faiyaz,Poison,2,7,13,4
25/8/20,Purple Tuesday (feat. Joey Bada$$ & Jesse Boykins III) by Rejjie Snow,Rejjie Snow,Purple Tuesday (feat. Joey Bada$$ & Jesse Boykins III),2,7,13,3
24/8/20,Rainy Day Loop by SALES,SALES,Rainy Day Loop,2,7,13,12
28/8/20,Reach Us by Moon Monsoon,Moon Monsoon,Reach Us,2,7,13,10
24/8/20,Ronson Princess by Clarence James,Clarence James,Ronson Princess,2,7,13,3
24/8/20,Sarah by Alex G,Alex G,Sarah,2,7,13,7
24/8/20,Shut Up Kiss Me by Angel Olsen,Angel Olsen,Shut Up Kiss Me,2,7,13,4
22/8/20,Sinking by Clairo,Clairo,Sinking,2,7,13,3
25/8/20,So Good at Being in Trouble by Unknown Mortal Orchestra,Unknown Mortal Orchestra,So Good at Being in Trouble,2,7,13,4
24/8/20,Sound & Color by Alabama Shakes,Alabama Shakes,Sound & Color,2,7,13,3
22/8/20,Spectrum (Say My Name) (Calvin Harris Remix) by Florence + the Machine,Florence + the Machine,Spectrum (Say My Name) (Calvin Harris Remix),2,7,13,3
24/8/20,Stranger Still by Vetiver,Vetiver,Stranger Still,2,7,13,3
22/8/20,Strawberry Afternoons by Lonely Benson,Lonely Benson,Strawberry Afternoons,2,7,13,3
24/8/20,Sugar for the Pill by Slowdive,Slowdive,Sugar for the Pill,2,7,13,6
28/8/20,Take Care of You (feat. Syd) by Charlotte Day Wilson,Charlotte Day Wilson,Take Care of You (feat. Syd),2,7,13,14
22/8/20,Take It Easy (Ever After Lasting Love) by White Denim,White Denim,Take It Easy (Ever After Lasting Love),2,7,13,3
22/8/20,Tangerine by Tim Atlas,Tim Atlas,Tangerine,2,7,13,3
23/8/20,This Must Be the Place (Naive Melody) - 2005 Remaster by Talking Heads,Talking Heads,This Must Be the Place (Naive Melody) - 2005 Remaster,2,7,13,3
25/8/20,Time Moves Slow by BADBADNOTGOOD,BADBADNOTGOOD,Time Moves Slow,2,7,13,4
22/8/20,Top Tier Love by Lonely Benson,Lonely Benson,Top Tier Love,2,7,13,3
28/8/20,Trajectory by FELIVAND,FELIVAND,Trajectory,2,7,13,16
25/8/20,White Gloves by Khruangbin,Khruangbin,White Gloves,2,7,13,3
24/8/20,White Jeans by SALES,SALES,White Jeans,2,7,13,13
25/8/20,You Can't Save Me by Sir,Sir,You Can't Save Me,2,7,13,4
28/8/20,You're On My Mind by Tom Misch,Tom Misch,You're On My Mind,2,7,13,3
30/8/20,23 by Rejjie Snow,Rejjie Snow,23,2,8,14,3
4/9/20,Судно (Борис Рижий) by Molchat Doma,Molchat Doma,Судно (Борис Рижий),2,8,14,6
4/9/20,(Don't Let the Dragon) Draag On by King Krule,King Krule,(Don't Let the Dragon) Draag On,2,8,14,8
31/8/20,3 Days by Rhye,Rhye,3 Days,2,8,14,4
4/9/20,A Quick One Before the Eternal Worm Devours Connecticut by Have a Nice Life,Have a Nice Life,A Quick One Before the Eternal Worm Devours Connecticut,2,8,14,6
4/9/20,All I Want by Moon Monsoon,Moon Monsoon,All I Want,2,8,14,11
3/9/20,Another Weekend by Ariel Pink,Ariel Pink,Another Weekend,2,8,14,3
4/9/20,Baby by Ariel Pink,Ariel Pink,Baby,2,8,14,8
4/9/20,Baby Blue by King Krule,King Krule,Baby Blue,2,8,14,5
3/9/20,Breeze by Slow Corpse,Slow Corpse,Breeze,2,8,14,5
4/9/20,Cabin Fever by Jaden,Jaden,Cabin Fever,2,8,14,5
3/9/20,Ceremony - Version 1; 2016 Remaster by New Order,New Order,Ceremony - Version 1; 2016 Remaster,2,8,14,3
4/9/20,Chanel by Frank Ocean,Frank Ocean,Chanel,2,8,14,4
4/9/20,Cherry Blossom by Raury,Raury,Cherry Blossom,2,8,14,5
4/9/20,Conrad by Ben Howard,Ben Howard,Conrad,2,8,14,4
2/9/20,Crazy For You by Slowdive,Slowdive,Crazy For You,2,8,14,4
3/9/20,DARE by Gorillaz,Gorillaz,DARE,2,8,14,5
4/9/20,Days Go By by Men I Trust,Men I Trust,Days Go By,2,8,14,4
3/9/20,Easy Easy by King Krule,King Krule,Easy Easy,2,8,14,3
31/8/20,Emergency Blimp by King Krule,King Krule,Emergency Blimp,2,8,14,3
4/9/20,Empty Words by Bowery Electric,Bowery Electric,Empty Words,2,8,14,4
2/9/20,Flirting In Space by Brad stank,Brad stank,Flirting In Space,2,8,14,5
3/9/20,Forever by Labrinth,Labrinth,Forever,2,8,14,3
3/9/20,Freak In Me by Mild Orange,Mild Orange,Freak In Me,2,8,14,5
4/9/20,Free The Frail by JPEGMAFIA,JPEGMAFIA,Free The Frail,2,8,14,8
4/9/20,Freudian by Daniel Caesar,Daniel Caesar,Freudian,2,8,14,3
3/9/20,Give Me Honey by Dope Lemon,Dope Lemon,Give Me Honey,2,8,14,3
4/9/20,Gold Dust by Duster,Duster,Gold Dust,2,8,14,7
4/9/20,Got My Back by Rimon,Rimon,Got My Back,2,8,14,6
4/9/20,Harvest Moon by Neil Young,Neil Young,Harvest Moon,2,8,14,6
4/9/20,Hey by Mild Orange,Mild Orange,Hey,2,8,14,15
4/9/20,Hold On by The Internet,The Internet,Hold On,2,8,14,4
30/8/20,Hold Up by Beyoncé,Beyoncé,Hold Up,2,8,14,3
4/9/20,Hot Headed by FELIVAND,FELIVAND,Hot Headed,2,8,14,6
4/9/20,I Don't Like It Like This by The Radio Dept.,The Radio Dept.,I Don't Like It Like This,2,8,14,4
